model,brand,year,transmission,mileage,fuel_type,price
Hyundai Santro Xing,Hyundai,2007,Manual,45000,Petrol,80000
Mahindra Jeep CL550,Mahindra,2006,Manual,40,Diesel,425000
Hyundai Grand i10,Hyundai,2014,Manual,28000,Petrol,325000
Ford EcoSport Titanium,Ford,2014,Manual,36000,Diesel,575000
Ford Figo,Ford,2012,Manual,41000,Diesel,175000
Hyundai Eon,Hyundai,2013,Manual,25000,Petrol,190000
Ford EcoSport Ambiente,Ford,2016,Manual,24530,Diesel,830000
Maruti Suzuki Alto,Maruti,2015,Manual,60000,Petrol,250000
Skoda Fabia Classic,Skoda,2010,Manual,60000,Petrol,182000
Maruti Suzuki Stingray,Maruti,2015,Manual,30000,Petrol,315000
Hyundai Elite i20,Hyundai,2014,Manual,32000,Petrol,415000
Mahindra Scorpio SLE,Mahindra,2015,Manual,48660,Diesel,320000
Hyundai Santro Xing,Hyundai,2007,Automatic,45000,Petrol,80000
Mahindra Jeep CL550,Mahindra,2006,Manual,40,Diesel,425000
Audi A8,Audi,2017,Manual,4000,Petrol,1000000
Audi Q7,Audi,2014,Manual,16934,Diesel,500000
Mahindra Scorpio S10,Mahindra,2016,Manual,43000,Diesel,350000
Maruti Suzuki Alto,Maruti,2014,Manual,35550,Petrol,160000
Mahindra Scorpio S10,Mahindra,2016,Manual,43000,Diesel,350000
Mahindra Scorpio S10,Mahindra,2016,Manual,39522,Diesel,310000
Maruti Suzuki Alto,Maruti,2015,Manual,39000,Petrol,75000
Hyundai i20 Sportz,Hyundai,2012,Manual,55000,Petrol,100000
Hyundai i20 Sportz,Hyundai,2012,Automatic,55000,Petrol,100000
Hyundai i20 Sportz,Hyundai,2012,Manual,55000,Petrol,100000
Maruti Suzuki Alto,Maruti,2017,Manual,72000,Petrol,190000
Maruti Suzuki Vitara,Maruti,2016,Manual,15975,Diesel,290000
Maruti Suzuki Alto,Maruti,2008,Manual,70000,Petrol,95000
Mahindra Bolero DI,Mahindra,2017,Manual,23452,Diesel,180000
Maruti Suzuki Swift,Maruti,2014,Manual,35522,Diesel,385000
Mahindra Scorpio S10,Mahindra,2015,Manual,48508,Diesel,250000
Maruti Suzuki Swift,Maruti,2017,Manual,15487,Petrol,180000
Maruti Suzuki Wagon,Maruti,2013,Manual,39000,Petrol,105000
Maruti Suzuki Wagon,Maruti,2013,Manual,39000,Petrol,105000
Toyota Innova 2.0,Toyota,2012,Manual,82000,Diesel,650000
Renault Lodgy 85,Renault,2018,Manual,20000,Diesel,689999
Skoda Yeti Ambition,Skoda,2012,Manual,68000,Diesel,448000
Maruti Suzuki Baleno,Maruti,2017,Manual,32000,Diesel,549000
Renault Duster 110,Renault,2012,Manual,38000,Diesel,501000
Renault Duster 85,Renault,2013,Manual,27000,Diesel,489999
Honda City 1.5,Honda,2011,Manual,33000,Petrol,280000
Maruti Suzuki Alto,Maruti,2015,Automatic,60000,Petrol,250000
Maruti Suzuki Dzire,Maruti,2013,Manual,46000,Diesel,349999
Honda Amaze,Honda,2013,Manual,46000,Diesel,284999
Honda Amaze 1.5,Honda,2015,Manual,36000,Diesel,345000
Honda City,Honda,2015,Manual,55000,Petrol,499999
Datsun Redi GO,Datsun,2017,Automatic,16000,Petrol,235000
Maruti Suzuki SX4,Maruti,2010,Manual,36000,Petrol,249999
Mitsubishi Pajero Sport,Mitsubishi,2015,Manual,47000,Diesel,1475000
Mahindra Bolero DI,Mahindra,2017,Manual,23452,Diesel,180000
Maruti Suzuki Swift,Maruti,2014,Automatic,35522,Diesel,385000
Mahindra Scorpio S10,Mahindra,2015,Automatic,48508,Diesel,250000
Maruti Suzuki Swift,Maruti,2017,Automatic,15487,Petrol,180000
Maruti Suzuki Wagon,Maruti,2013,Automatic,39000,Petrol,105000
Maruti Suzuki Wagon,Maruti,2013,Automatic,39000,Petrol,105000
Mahindra Scorpio S10,Mahindra,2015,Manual,35000,Diesel,395000
Maruti Suzuki Swift,Maruti,2017,Automatic,30874,Petrol,220000
Honda City ZX,Honda,2017,Manual,15000,Diesel,170000
Maruti Suzuki Wagon,Maruti,2013,Manual,29685,Petrol,85000
Ford Figo,Ford,2012,Manual,41000,Diesel,175000
Hyundai Eon,Hyundai,2013,Automatic,25000,Petrol,190000
Tata Indigo eCS,Tata,2017,Manual,130000,Diesel,200000
Ford EcoSport Ambiente,Ford,2016,Manual,24530,Diesel,830000
Tata Indigo eCS,Tata,2017,Automatic,130000,Diesel,200000
Mahindra Scorpio SLE,Mahindra,2012,Automatic,19000,Diesel,570000
Volkswagen Polo Highline,Volkswagen,2014,Automatic,60000,Petrol,315000
Skoda Fabia Classic,Skoda,2010,Manual,60000,Petrol,182000
Maruti Suzuki Stingray,Maruti,2015,Automatic,30000,Petrol,315000
Chevrolet Spark LS,Chevrolet,2010,Manual,41000,Petrol,110000
Renault Duster 110PS,Renault,2012,Manual,35000,Diesel,501000
Honda City,Honda,2015,Manual,54000,Petrol,448999
Mini Cooper S,Mini,2013,Manual,13000,Petrol,1891111
Datsun Redi GO,Datsun,2017,Manual,16000,Petrol,235000
Skoda Fabia 1.2L,Skoda,2011,Manual,38200,Diesel,159500
Honda Amaze,Honda,2015,Manual,22000,Petrol,344999
Honda Amaze,Honda,2015,Manual,22000,Petrol,344999
Renault Duster,Renault,2014,Manual,50000,Diesel,449999
Mini Cooper S,Mini,2013,Manual,13500,Petrol,1891111
Mahindra Scorpio S4,Mahindra,2015,Automatic,30000,Diesel,865000
Mahindra Scorpio VLX,Mahindra,2014,Automatic,50000,Diesel,699000
Mahindra Quanto C8,Mahindra,2013,Automatic,20000,Diesel,375000
Ford EcoSport,Ford,2017,Manual,39000,Petrol,489999
Honda Brio,Honda,2012,Manual,30000,Petrol,224999
Volkswagen Vento Highline,Volkswagen,2019,Automatic,3600,Diesel,1200000
Hyundai i20 Magna,Hyundai,2009,Manual,32000,Petrol,195000
Toyota Corolla Altis,Toyota,2010,Manual,38000,Diesel,351000
Hyundai Verna Transform,Hyundai,2008,Automatic,45000,Petrol,160000
Toyota Corolla Altis,Toyota,2009,Manual,35000,Petrol,240000
Honda City 1.5,Honda,2005,Manual,50000,Petrol,90000
Hyundai Elite i20,Hyundai,2014,Manual,32000,Petrol,415000
Skoda Fabia 1.2L,Skoda,2011,Manual,45863,Diesel,155000
BMW 3 Series,BMW,2011,Manual,60500,Petrol,600000
Maruti Suzuki A,Maruti,2011,Manual,12500,Petrol,189500
Toyota Etios GD,Toyota,2013,Manual,60000,Diesel,350000
Ford Figo Diesel,Ford,2012,Automatic,35000,Diesel,210000
Maruti Suzuki Swift,Maruti,2014,Automatic,35000,Petrol,390000
Chevrolet Beat LT,Chevrolet,2012,Manual,45000,Diesel,135000
BMW 7 Series,BMW,2009,Automatic,35000,Petrol,1600000
Mahindra XUV500 W8,Mahindra,2013,Manual,38000,Diesel,701000
Hyundai i10 Magna,Hyundai,2014,Manual,18000,Petrol,265000
Hyundai Verna Fluidic,Hyundai,2015,Manual,35000,Diesel,525000
Maruti Suzuki Swift,Maruti,2013,Manual,13349,Petrol,372000
Maruti Suzuki Ertiga,Maruti,2016,Manual,29000,Petrol,635000
Ford EcoSport Titanium,Ford,2014,Manual,44000,Diesel,550000
Maruti Suzuki Ertiga,Maruti,2016,Manual,29000,Petrol,575000
Maruti Suzuki Ertiga,Maruti,2013,Manual,42000,Diesel,485000
Maruti Suzuki Alto,Maruti,2012,Manual,14000,Petrol,155000
Hyundai Grand i10,Hyundai,2014,Manual,49000,Diesel,345000
Honda Amaze 1.2,Honda,2014,Manual,42000,Petrol,325000
Hyundai i20 Asta,Hyundai,2012,Manual,36200,Diesel,329500
Ford Figo Diesel,Ford,2014,Manual,50000,Diesel,195000
Maruti Suzuki Eeco,Maruti,2015,Manual,55000,Petrol,251111
Maruti Suzuki Ertiga,Maruti,2014,Manual,45000,Petrol,569999
Maruti Suzuki Esteem,Maruti,2007,Manual,51000,Petrol,69999
Maruti Suzuki Ritz,Maruti,2014,Manual,19000,Petrol,299999
Maruti Suzuki Dzire,Maruti,2009,Manual,46000,Petrol,220000
Maruti Suzuki Ritz,Maruti,2013,Manual,33000,Diesel,399999
Maruti Suzuki Swift,Maruti,2013,Manual,13349,Petrol,372000
Maruti Suzuki Dzire,Maruti,2015,Manual,104000,Diesel,450000
Toyota Etios Liva,Toyota,2014,Manual,55000,Petrol,270000
Hyundai i20 Sportz,Hyundai,2011,Manual,33333,Diesel,350000
Chevrolet Spark,Chevrolet,2012,Manual,33600,Petrol,158400
Maruti Suzuki Alto,Maruti,2017,Manual,5600,Petrol,350000
Nissan Micra XV,Nissan,2011,Manual,41000,Petrol,179000
Maruti Suzuki Swift,Maruti,2007,Manual,70000,Petrol,125000
Maruti Suzuki Alto,Maruti,2018,Manual,7500,Petrol,200000
Honda Amaze 1.5,Honda,2013,Manual,45000,Diesel,299000
Maruti Suzuki Alto,Maruti,2015,Manual,38000,Petrol,220000
Chevrolet Beat,Chevrolet,2015,Manual,30000,Petrol,150000
Honda City 1.5,Honda,2010,Manual,35000,Petrol,285000
Ford EcoSport Trend,Ford,2016,Manual,24330,Diesel,830000
Hyundai i20 Asta,Hyundai,2009,Manual,65480,Petrol,210000
Maruti Suzuki Swift,Maruti,2013,Manual,41000,Petrol,340000
Tata Indica V2,Tata,2006,Manual,20000,Petrol,90000
Hindustan Motors Ambassador,Hindustan,2000,Manual,200000,Diesel,70000
Toyota Corolla Altis,Toyota,2010,Manual,70000,Petrol,289999
Toyota Corolla Altis,Toyota,2012,Manual,59000,Petrol,349999
Toyota Innova 2.5,Toyota,2012,Manual,99000,Diesel,849999
Volkswagen Jetta Highline,Volkswagen,2014,Manual,46000,Diesel,749999
Volkswagen Polo Comfortline,Volkswagen,2015,Manual,2800,Petrol,399999
Volkswagen Polo,Volkswagen,2014,Manual,32000,Petrol,274999
Mahindra Scorpio,Mahindra,2015,Manual,22000,Diesel,984999
Renault Duster,Renault,2014,Manual,50000,Diesel,449999
Honda Amaze,Honda,2015,Manual,22000,Petrol,344999
Nissan Sunny,Nissan,2012,Manual,45000,Petrol,224999
Hyundai Elite i20,Hyundai,2018,Manual,21000,Petrol,599999
Renault Kwid,Renault,2016,Manual,11000,Petrol,244999
Renault Duster,Renault,2013,Manual,41000,Diesel,399999
Ford EcoSport,Ford,2017,Manual,39000,Petrol,489999
Renault Duster,Renault,2014,Manual,50000,Diesel,474999
Mahindra Scorpio VLX,Mahindra,2011,Manual,66000,Diesel,499999
Maruti Suzuki Alto,Maruti,2018,Manual,3000,Petrol,310000
Chevrolet Spark LT,Chevrolet,2010,Manual,45000,Petrol,85000
Datsun Redi GO,Datsun,2016,Manual,7000,Petrol,245000
Maruti Suzuki Swift,Maruti,2010,Manual,38500,Diesel,189500
Fiat Punto Emotion,Fiat,2012,Manual,37200,Diesel,169500
Maruti Suzuki Swift,Maruti,2010,Automatic,43200,Diesel,159500
Toyota Etios GD,Toyota,2013,Manual,24800,Petrol,275000
Hyundai i20 Sportz,Hyundai,2014,Manual,60000,Diesel,370000
Hyundai i10 Sportz,Hyundai,2010,Manual,45872,Petrol,168000
Chevrolet Beat LT,Chevrolet,2011,Automatic,40000,Diesel,150000
Chevrolet Beat LS,Chevrolet,2011,Manual,45000,Diesel,145000
Chevrolet Beat LT,Chevrolet,2012,Manual,38000,Diesel,98500
Mahindra Scorpio VLX,Mahindra,2014,Manual,50000,Diesel,699000
Tata Indigo CS,Tata,2011,Manual,11400,Diesel,85000
Toyota Corolla Altis,Toyota,2015,Manual,42000,Petrol,575000
Honda City 1.5,Honda,2014,Automatic,39000,Petrol,549000
Maruti Suzuki Swift,Maruti,2011,Manual,47000,Diesel,209000
Hyundai Eon Era,Hyundai,2013,Manual,27000,Petrol,185000
Mahindra Scorpio S10,Mahindra,2015,Manual,97200,Diesel,900000
Mahindra XUV500,Mahindra,2014,Manual,52000,Diesel,699999
Honda Brio,Honda,2012,Manual,30000,Petrol,224999
Ford Fiesta,Ford,2011,Manual,55000,Diesel,274999
Honda Amaze,Honda,2013,Manual,46000,Diesel,284999
Honda City,Honda,2015,Automatic,30000,Diesel,599999
Maruti Suzuki Wagon,Maruti,2012,Manual,44000,Petrol,199999
Honda City,Honda,2014,Manual,45000,Diesel,544999
Hyundai i20,Hyundai,2009,Manual,31000,Petrol,199000
Tata Indigo eCS,Tata,2016,Automatic,175430,Diesel,320000
Hyundai Fluidic Verna,Hyundai,2015,Automatic,38000,Diesel,540000
Mahindra Quanto C8,Mahindra,2013,Manual,37000,Diesel,340000
Fiat Petra ELX,Fiat,2008,Manual,65000,Petrol,75000
Skoda Fabia 1.2L,Skoda,2011,Manual,38200,Diesel,159500
Mini Cooper S,Mini,2013,Manual,13000,Petrol,1891111
Hyundai Santro Xing,Hyundai,2005,Manual,7500,Petrol,49000
Maruti Suzuki Ciaz,Maruti,2016,Manual,3350,Petrol,700000
Maruti Suzuki Zen,Maruti,2000,Automatic,60000,Petrol,55000
Honda City,Honda,2015,Automatic,54000,Petrol,448999
Hyundai Creta 1.6,Hyundai,2017,Manual,32000,Petrol,895000
Mahindra Scorpio SLX,Mahindra,2007,Manual,75000,Diesel,355000
Mahindra Scorpio SLE,Mahindra,2012,Manual,62000,Diesel,565000
Toyota Innova 2.5,Toyota,2006,Manual,73000,Diesel,365000
Maruti Suzuki Alto,Maruti,2011,Manual,41000,Petrol,145000
Maruti Suzuki Wagon,Maruti,2011,Manual,35000,Petrol,210000
Tata Nano Cx,Tata,2013,Manual,2200,Petrol,40000
Maruti Suzuki Alto,Maruti,2013,Manual,39000,Petrol,125000
Maruti Suzuki Wagon,Maruti,2009,Manual,45000,Petrol,135000
Maruti Suzuki Swift,Maruti,2006,Automatic,45000,Petrol,135000
Tata Sumo Victa,Tata,2012,Manual,65000,Diesel,285000
Maruti Suzuki Wagon,Maruti,2010,Manual,54870,Petrol,145000
Maruti Suzuki Alto,Maruti,2010,Manual,34580,Petrol,135000
Volkswagen Passat Diesel,Volkswagen,2009,Manual,97000,Diesel,450000
Renault Scala RxL,Renault,2015,Manual,25000,Diesel,375000
Mahindra Quanto C8,Mahindra,2013,Manual,20000,Diesel,375000
Hyundai Grand i10,Hyundai,2014,Manual,20000,Petrol,365000
Hyundai i20 Active,Hyundai,2015,Manual,18000,Petrol,500000
Mahindra Xylo E4,Mahindra,2012,Manual,35000,Diesel,400000
Mahindra Jeep MM,Mahindra,2019,Manual,60,Diesel,390000
Renault Duster 110PS,Renault,2012,Automatic,35000,Diesel,501000
Mahindra Bolero SLE,Mahindra,2013,Manual,80200,Diesel,330000
Force Motors Force,Force,2015,Manual,3200,Diesel,580000
Maruti Suzuki SX4,Maruti,2012,Manual,46000,Diesel,265000
Mahindra Jeep CL550,Mahindra,2019,Manual,0,Diesel,379000
Maruti Suzuki Alto,Maruti,2015,Manual,5000,Petrol,219000
Mahindra Jeep CL550,Mahindra,2018,Manual,588,Diesel,385000
Toyota Etios,Toyota,2011,Manual,36000,Diesel,275000
Volkswagen Polo,Volkswagen,2015,Manual,38000,Diesel,330000
Honda City ZX,Honda,2008,Manual,45000,Petrol,110000
Maruti Suzuki Wagon,Maruti,2006,Manual,71200,Petrol,80000
Honda City VX,Honda,2016,Manual,52000,Diesel,519000
Mahindra Thar CRDe,Mahindra,2016,Manual,29000,Diesel,730000
Mitsubishi Pajero Sport,Mitsubishi,2015,Manual,47000,Diesel,1475000
Audi A4 1.8,Audi,2009,Automatic,47000,Petrol,699000
Mercedes Benz GLA,Mercedes,2015,Manual,20000,Diesel,2000000
Land Rover Freelander,Land,2015,Manual,30000,Diesel,2100000
Renault Kwid RXT,Renault,2017,Automatic,5000,Petrol,340000
Tata Aria Pleasure,Tata,2014,Manual,35000,Diesel,390000
Mercedes Benz B,Mercedes,2014,Manual,31000,Petrol,1400000
Datsun GO T,Datsun,2016,Manual,7000,Petrol,245000
Tata Indigo eCS,Tata,2016,Manual,175430,Diesel,320000
Tata Indigo eCS,Tata,2016,Manual,175400,Diesel,320000
Honda Jazz VX,Honda,2016,Manual,41000,Petrol,450000
Honda Amaze 1.2,Honda,2014,Manual,33000,Petrol,311000
Honda Amaze,Honda,2013,Automatic,46000,Diesel,284999
Honda City,Honda,2012,Manual,45000,Petrol,399999
Honda City,Honda,2015,Manual,39000,Diesel,599999
Honda Amaze,Honda,2015,Manual,22000,Petrol,344999
Audi A4 1.8,Audi,2009,Manual,47000,Petrol,699000
Force Motors Force,Force,2015,Manual,3200,Diesel,580000
Mahindra Scorpio S4,Mahindra,2015,Manual,30000,Diesel,855000
Hyundai i20 Active,Hyundai,2015,Manual,37000,Diesel,535000
Mini Cooper S,Mini,2013,Manual,13000,Petrol,1891111
Maruti Suzuki Ciaz,Maruti,2017,Manual,14000,Petrol,699000
Chevrolet Tavera Neo,Chevrolet,2013,Manual,55000,Diesel,375000
Honda Amaze,Honda,2013,Manual,46000,Diesel,284999
Hyundai Eon Sportz,Hyundai,2012,Manual,30000,Petrol,178000
Tata Sumo Gold,Tata,2013,Manual,50000,Diesel,300000
Maruti Suzuki Wagon,Maruti,2003,Manual,45000,Petrol,90000
Maruti Suzuki Esteem,Maruti,2006,Manual,45000,Petrol,95000
Maruti Suzuki Eeco,Maruti,2015,Manual,9300,Petrol,255000
Chevrolet Enjoy 1.4,Chevrolet,2013,Manual,55000,Diesel,245000
Hyundai i20 Asta,Hyundai,2012,Manual,36200,Diesel,329500
Ford Figo Diesel,Ford,2014,Manual,50000,Diesel,195000
Maruti Suzuki Eeco,Maruti,2015,Automatic,55000,Petrol,251111
Maruti Suzuki Ertiga,Maruti,2014,Manual,45000,Petrol,569999
Maruti Suzuki Esteem,Maruti,2007,Manual,51000,Petrol,69999
Maruti Suzuki Ritz,Maruti,2014,Manual,19000,Petrol,299999
Maruti Suzuki Dzire,Maruti,2009,Manual,46000,Petrol,220000
Maruti Suzuki Ritz,Maruti,2013,Manual,33000,Diesel,399999
Maruti Suzuki SX4,Maruti,2010,Manual,36000,Petrol,249999
Maruti Suzuki Wagon,Maruti,2015,Manual,22000,Petrol,289999
Mini Cooper S,Mini,2013,Manual,13500,Petrol,1891111
Nissan Terrano XL,Nissan,2015,Manual,60000,Diesel,499999
Renault Duster 85,Renault,2013,Manual,27000,Diesel,489999
Renault Duster 85,Renault,2014,Manual,59000,Diesel,489999
Renault Duster 85,Renault,2015,Manual,19000,Diesel,549999
Maruti Suzuki Dzire,Maruti,2013,Manual,30000,Petrol,380000
Renault Kwid RXT,Renault,2018,Manual,15000,Petrol,325000
Maruti Suzuki Maruti,Maruti,2003,Manual,56758,Petrol,57000
Renault Kwid 1.0,Renault,2018,Manual,10000,Petrol,349999
Renault Lodgy 85,Renault,2018,Manual,20000,Diesel,689999
Renault Scala RxL,Renault,2014,Manual,49000,Diesel,349999
Hyundai Grand i10,Hyundai,2014,Manual,41000,Petrol,410000
