model,brand,year,transmission,mileage,fuel_type,price
Renault Duster 85PS,Renault,2013,Manual,57923,Diesel,401919
Chevrolet Enjoy,Chevrolet,2014,Manual,30201,Diesel,490000
Maruti Suzuki Alto,Maruti,2017,Manual,6200,Petrol,280000
BMW 5 Series,BMW,2009,Manual,37518,Petrol,650000
Toyota Etios Liva,Toyota,2014,Manual,24652,Petrol,160000
Mahindra Jeep MM,Mahindra,2004,Manual,383,Diesel,424000
Chevrolet Beat LS,Chevrolet,2016,Manual,95000,Diesel,225000
Chevrolet Cruze LTZ,Chevrolet,2011,Manual,35000,Diesel,350000
Jeep Wrangler Unlimited,Jeep,2015,Manual,3528,Diesel,950000
Maruti Suzuki Ertiga,Maruti,2013,Manual,52500,Diesel,485000
Hyundai Verna VGT,Hyundai,2010,Automatic,47900,Diesel,205000
Maruti Suzuki Omni,Maruti,2012,Manual,14000,Petrol,160000
Maruti Suzuki Celerio,Maruti,2018,Manual,37000,Petrol,310000
Tata Zest Quadrajet,Tata,2017,Manual,90000,Diesel,180000
Mahindra XUV500 W6,Mahindra,2013,Manual,52800,Diesel,549900
Tata Indigo CS,Tata,2016,Manual,104000,Diesel,150000
Hyundai i10 Era,Hyundai,2011,Manual,30000,Petrol,175000
Tata Indigo eCS,Tata,2014,Manual,195000,Diesel,95000
Tata Indigo LX,Tata,2016,Manual,104000,Diesel,230000
Tata Indigo eCS,Tata,2016,Manual,104000,Diesel,230000
Tata Indigo Marina,Tata,2004,Manual,70000,Diesel,180000
Hyundai Xcent SX,Hyundai,2015,Manual,43000,Diesel,400000
Hyundai Eon Magna,Hyundai,2013,Manual,23000,Petrol,185000
Renault Duster 85,Renault,2015,Manual,51000,Diesel,385000
Maruti Suzuki Alto,Maruti,2009,Manual,62000,Petrol,90000
Tata Nano LX,Tata,2010,Manual,48008,Petrol,32000
Renault Duster 110,Renault,2013,Manual,39000,Diesel,435000
Maruti Suzuki Wagon,Maruti,2010,Manual,40000,Petrol,225000
Maruti Suzuki Swift,Maruti,2006,Manual,48247,Petrol,189700
Maruti Suzuki Ertiga,Maruti,2012,Manual,39000,Diesel,389700
Maruti Suzuki Swift,Maruti,2014,Manual,23000,Petrol,365000
Maruti Suzuki Alto,Maruti,2017,Manual,9400,Petrol,360000
Hyundai i20 Magna,Hyundai,2010,Manual,50000,Petrol,210000
Hyundai i10 Magna,Hyundai,2009,Automatic,75000,Petrol,170000
Tata Zest XE,Tata,2017,Manual,70000,Diesel,380000
Mahindra Xylo E8,Mahindra,2009,Manual,64000,Diesel,295000
Toyota Corolla Altis,Toyota,2010,Manual,55000,Petrol,185000
Tata Manza Aqua,Tata,2014,Manual,200000,Diesel,160000
Renault Kwid 1.0,Renault,2018,Manual,2137,Petrol,290000
Tata Venture EX,Tata,2013,Manual,30000,Diesel,100000
Maruti Suzuki Swift,Maruti,2014,Manual,44000,Petrol,315000
Skoda Octavia Classic,Skoda,2006,Manual,65000,Diesel,114990
Maruti Suzuki Omni,Maruti,2012,Manual,160000,LPG,120000
Chevrolet Beat Diesel,Chevrolet,2011,Automatic,56000,Diesel,125000
Tata Sumo Gold,Tata,2012,Manual,75000,Diesel,210000
Hyundai Verna 1.6,Hyundai,2018,Automatic,42000,Diesel,855000
Tata Sumo Gold,Tata,2012,Manual,75000,Diesel,210000
Mahindra Scorpio 2.6,Mahindra,2007,Manual,56000,Diesel,260000
Maruti Suzuki Zen,Maruti,2002,Manual,10544,Petrol,95000
Maruti Suzuki Swift,Maruti,2011,Manual,64000,Petrol,255000
Mahindra Scorpio SLX,Mahindra,2008,Manual,70000,Diesel,300000
Hyundai Grand i10,Hyundai,2014,Manual,25000,Petrol,340000
Hyundai Elite i20,Hyundai,2017,Manual,15000,Petrol,550000
Ford Ikon 1.6,Ford,2003,Manual,50000,Petrol,60000
Toyota Innova 2.5,Toyota,2011,Manual,147000,Diesel,750000
Nissan Sunny XL,Nissan,2011,Manual,52000,Petrol,230000
Chevrolet Beat LT,Chevrolet,2012,Manual,90001,Diesel,130000
Maruti Suzuki Alto,Maruti,2017,Manual,21000,Petrol,270000
Maruti Suzuki Swift,Maruti,2012,Manual,48006,Diesel,280000
Maruti Suzuki Swift,Maruti,2012,Manual,48006,Diesel,280000
Maruti Suzuki Swift,Maruti,2012,Manual,48006,Diesel,280000
Toyota Innova 2.0,Toyota,2012,Manual,80000,Diesel,600000
Maruti Suzuki Swift,Maruti,2010,Manual,74000,Diesel,190000
Hyundai Elite i20,Hyundai,2015,Manual,22000,Petrol,500000
Mahindra XUV500 W10,Mahindra,2016,Manual,41000,Diesel,1065000
Volkswagen Polo Trendline,Volkswagen,2015,Manual,25000,Diesel,350000
Toyota Etios Liva,Toyota,2012,Manual,85000,Diesel,350000
Mahindra TUV300 T4,Mahindra,2016,Manual,29500,Diesel,540000
Hyundai Elite i20,Hyundai,2015,Manual,30000,Petrol,470000
Hyundai Santro Xing,Hyundai,2014,Manual,57000,Petrol,179000
Maruti Suzuki Zen,Maruti,2003,Manual,60000,Petrol,48000
Maruti Suzuki Ciaz,Maruti,2016,Automatic,50000,Petrol,650000
Hyundai Eon Era,Hyundai,2013,Manual,39700,Petrol,190000
Hyundai Elantra 1.8,Hyundai,2012,Manual,65000,Petrol,500000
Maruti Suzuki Swift,Maruti,2010,Manual,67000,Diesel,270000
Maruti Suzuki Zen,Maruti,2008,Manual,46000,Petrol,125000
Hyundai Eon Era,Hyundai,2012,Manual,38000,Petrol,188000
Hyundai Grand i10,Hyundai,2016,Manual,27000,Petrol,380000
Hyundai Verna Fluidic,Hyundai,2011,Manual,43000,Diesel,365000
Ford EcoSport Trend,Ford,2014,Manual,47000,Petrol,465000
Hyundai i20 Magna,Hyundai,2011,Manual,42000,Petrol,240000
Chevrolet Beat Diesel,Chevrolet,2016,Automatic,19336,Diesel,179999
Tata Indica eV2,Tata,2015,Manual,60105,Diesel,140000
Jaguar XF 2.2,Jaguar,2013,Manual,29000,Diesel,2190000
Audi Q5 2.0,Audi,2014,Manual,34000,Diesel,2390000
BMW 3 Series,BMW,2011,Manual,35000,Diesel,1075000
Maruti Suzuki Swift,Maruti,2015,Manual,22000,Petrol,475000
BMW X1 sDrive20d,BMW,2012,Manual,41000,Diesel,1025000
Maruti Suzuki S,Maruti,2016,Manual,21000,Diesel,615000
Maruti Suzuki Ertiga,Maruti,2013,Manual,48000,Diesel,475000
Maruti Suzuki Alto,Maruti,2016,Manual,38000,Petrol,270000
Honda City SV,Honda,2014,Manual,34000,Diesel,475000
Volkswagen Vento Comfortline,Volkswagen,2011,Manual,45933,Petrol,240000
Honda City 1.5,Honda,2005,Manual,68000,Petrol,120000
Audi A4 2.0,Audi,2016,Manual,44000,Diesel,1900000
Mahindra KUV100,Mahindra,2017,Manual,35000,Diesel,360000
Tata Zest XE,Tata,2018,Manual,102563,Diesel,450000
Mahindra XUV500 W8,Mahindra,2015,Manual,28600,Diesel,900000
Maruti Suzuki Swift,Maruti,2017,Manual,41800,Diesel,650000
Tata Sumo Gold,Tata,2014,Automatic,116000,Diesel,275000
Maruti Suzuki Swift,Maruti,2009,Manual,59000,Petrol,210000
Mahindra Scorpio 2.6,Mahindra,2004,Manual,58000,Diesel,175000
Maruti Suzuki Omni,Maruti,2009,Manual,45000,Petrol,85000
Mitsubishi Pajero Sport,Mitsubishi,2015,Manual,42590,Diesel,1490000
Renault Duster,Renault,2014,Automatic,7400,Diesel,800000
Volkswagen Jetta Comfortline,Volkswagen,2009,Manual,54500,Diesel,450000
Maruti Suzuki Ertiga,Maruti,2012,Manual,200000,Diesel,1000000
Audi A4 2.0,Audi,2013,Manual,27000,Diesel,1510000
Volvo S80 Summum,Volvo,2015,Automatic,42000,Diesel,1850000
Toyota Corolla Altis,Toyota,2014,Automatic,29000,Petrol,790000
Mitsubishi Pajero Sport,Mitsubishi,2015,Automatic,37000,Diesel,1725000
Chevrolet Beat LT,Chevrolet,2012,Automatic,36000,Petrol,135000
BMW X1,BMW,2011,Automatic,34000,Diesel,1000000
Datsun Redi GO,Datsun,2018,Manual,7000,Petrol,299999
Mercedes Benz C,Mercedes,2009,Automatic,76000,Diesel,1225000
Mahindra Scorpio SLX,Mahindra,2004,Manual,60000,Diesel,175000
Volkswagen Vento Comfortline,Volkswagen,2011,Manual,95000,Diesel,200000
Tata Indigo CS,Tata,2017,Manual,50000,Diesel,270000
Ford Figo Petrol,Ford,2019,Automatic,0,Petrol,525000
Honda City ZX,Honda,2006,Manual,50000,Petrol,180000
Maruti Suzuki Wagon,Maruti,2008,Manual,68000,Petrol,140000
Ford EcoSport Trend,Ford,2014,Automatic,16000,Petrol,400000
Maruti Suzuki Swift,Maruti,2016,Automatic,51000,Diesel,499000
Maruti Suzuki Omni,Maruti,2009,Automatic,56000,Petrol,85000
Maruti Suzuki Zen,Maruti,2004,Manual,100000,Petrol,70000
Renault Duster RxL,Renault,2015,Automatic,36000,Petrol,550000
Maruti Suzuki Swift,Maruti,2014,Manual,11523,Petrol,370000
Maruti Suzuki Baleno,Maruti,2018,Manual,1000,Petrol,690000
Honda WR V,Honda,2009,Manual,60000,Petrol,250000
Tata Indigo CS,Tata,2016,Manual,85000,Diesel,110000
Renault Duster 110,Renault,2013,Manual,38600,Diesel,490000
Mahindra Scorpio LX,Mahindra,2009,Manual,95500,Diesel,320000
Maruti Suzuki Zen,Maruti,2004,Manual,56000,Petrol,68000
Maruti Suzuki Wagon,Maruti,2014,Manual,37458,Petrol,130000
Maruti Suzuki SX4,Maruti,2016,Manual,85960,Diesel,970000
Audi A3 Cabriolet,Audi,2015,Manual,12516,Petrol,3100000
Hyundai Eon D,Hyundai,2018,Automatic,35000,Petrol,280000
Maruti Suzuki Zen,Maruti,2009,Automatic,0,Petrol,125000
Mahindra Scorpio SLX,Mahindra,2008,Automatic,80000,Diesel,285000
Hyundai Santro AE,Hyundai,2011,Manual,45000,Petrol,165000
Maruti Suzuki Swift,Maruti,2009,Manual,51000,Diesel,250000
Mahindra Scorpio S4,Mahindra,2015,Automatic,30000,Diesel,865000
Mahindra Xylo D2,Mahindra,2011,Manual,48000,Diesel,390000
Hyundai Santro,Hyundai,2003,Manual,51000,Petrol,60000
Chevrolet Beat LT,Chevrolet,2015,Automatic,90000,Diesel,215000
Maruti Suzuki Swift,Maruti,2015,Manual,43000,Diesel,475000
Mahindra XUV500 W8,Mahindra,2015,Manual,53000,Diesel,899000
Toyota Fortuner 3.0,Toyota,2013,Manual,97000,Diesel,1499000
Maruti Suzuki Alto,Maruti,2013,Manual,20000,Petrol,240000
Hyundai Getz GLE,Hyundai,2007,Manual,55000,Petrol,99000
Maruti Suzuki Swift,Maruti,2014,Manual,120000,Diesel,260000
Hyundai Creta 1.6,Hyundai,2019,Manual,0,Petrol,1200000
Hyundai Santro Xing,Hyundai,2007,Automatic,46000,Petrol,115000
Hyundai Santro Xing,Hyundai,2009,Automatic,43200,Petrol,88000
Mahindra Xylo D2,Mahindra,2011,Manual,56000,Diesel,390000
Hyundai Santro Xing,Hyundai,2007,Automatic,42000,Petrol,135000
Tata Indica V2,Tata,2009,Manual,30600,Diesel,90000
Hyundai i10 Sportz,Hyundai,2011,Manual,38000,Petrol,220000
Hyundai Grand i10,Hyundai,2017,Manual,2550,Petrol,424999
Hyundai Santro Xing,Hyundai,2007,Manual,47000,Petrol,135000
Honda City 1.5,Honda,2005,Manual,41000,Petrol,95000
Nissan Micra XL,Nissan,2017,Manual,62500,Diesel,430000
Honda City 1.5,Honda,2005,Manual,68000,Petrol,115000
Maruti Suzuki Alto,Maruti,2015,Manual,50000,Petrol,215000
Maruti Suzuki Wagon,Maruti,2004,Manual,69000,Petrol,53000
Maruti Suzuki Ertiga,Maruti,2012,Manual,48000,Diesel,500000
Tata Indica eV2,Tata,2012,Manual,55000,Diesel,85000
Maruti Suzuki Omni,Maruti,2013,Manual,25000,Petrol,165000
Hyundai Eon Era,Hyundai,2014,Manual,28400,Petrol,200000
Hyundai Eon,Hyundai,2014,Manual,28000,Petrol,200000
Maruti Suzuki Swift,Maruti,2015,Manual,42000,Diesel,425000
Hyundai Verna 1.6,Hyundai,2012,Manual,29000,Diesel,600000
Chevrolet Tavera LS,Chevrolet,2005,Manual,68485,Diesel,130000
Tata Tiago Revotron,Tata,2018,Manual,3500,Petrol,430000
Tata Tiago Revotorq,Tata,2019,Manual,0,Petrol,568500
Maruti Suzuki Zen,Maruti,2006,Manual,32000,Petrol,71000
Mahindra KUV100 K8,Mahindra,2018,Manual,8000,Diesel,560000
Ford EcoSport Titanium,Ford,2014,Manual,34000,Diesel,590000
Hindustan Motors Ambassador,Hindustan,1995,Manual,37000,Petrol,750000
Ford Fusion 1.4,Ford,2007,Manual,85455,Diesel,125000
Hyundai Santro Xing,Hyundai,2007,Manual,46000,Petrol,135000
Hyundai Santro,Hyundai,2002,Manual,47000,Petrol,60000
Fiat Linea Emotion,Fiat,2009,Manual,64000,Petrol,120000
Ford Ikon 1.3,Ford,2008,Manual,46000,Petrol,95000
Maruti Suzuki Omni,Maruti,2017,Manual,8000,Petrol,240000
Tata Indica V2,Tata,2012,Manual,64000,Diesel,115000
Mahindra Scorpio S4,Mahindra,2015,Manual,63000,Diesel,795000
Hyundai Santro Xing,Hyundai,2007,Manual,65000,Petrol,55000
Mahindra Xylo D2,Mahindra,2009,Manual,62000,Diesel,300000
Hyundai Grand i10,Hyundai,2014,Manual,41000,Petrol,320000
Maruti Suzuki Alto,Maruti,2015,Manual,14000,Petrol,265000
Toyota Corolla,Toyota,2006,Manual,40000,Petrol,160000
Hyundai Eon Magna,Hyundai,2017,Manual,1600,Petrol,300000
Tata Sumo Grande,Tata,2010,Manual,90000,Diesel,130000
Maruti Suzuki Swift,Maruti,2011,Manual,58000,Diesel,250000
Volkswagen Polo Highline1.2L,Volkswagen,2013,Manual,27000,Petrol,380000
Maruti Suzuki Alto,Maruti,2003,Manual,60000,Petrol,42000
Tata Tiago Revotron,Tata,2017,Manual,31000,Petrol,400000
Maruti Suzuki Swift,Maruti,2009,Manual,90000,Diesel,120000
Maruti Suzuki Swift,Maruti,2009,Manual,90000,Diesel,120000
Tata Indigo eCS,Tata,2016,Manual,150000,Diesel,130000
Chevrolet Beat LS,Chevrolet,2014,Manual,31000,Diesel,189000
Mahindra Xylo E8,Mahindra,2011,Manual,43000,Diesel,365000
Hyundai Eon D,Hyundai,2013,Manual,20000,Petrol,170000
Tata Sumo Gold,Tata,2013,Manual,100000,Petrol,215000
Tata Nano,Tata,2013,Manual,7000,Petrol,60000
Hyundai Elite i20,Hyundai,2017,Manual,31000,Petrol,599999
Hyundai i10 Magna,Hyundai,2009,Manual,33000,Petrol,400000
Hyundai Creta,Hyundai,2016,Manual,60000,Diesel,900000
Volkswagen Polo,Volkswagen,2013,Manual,48000,Diesel,299999
Maruti Suzuki Dzire,Maruti,2014,Manual,33000,Petrol,374999
Tata Bolt XM,Tata,2015,Manual,15000,Petrol,600000
Maruti Suzuki Alto,Maruti,2005,Manual,47000,Petrol,70000
Maruti Suzuki Alto,Maruti,2005,Manual,40000,Petrol,100000
Maruti Suzuki Ritz,Maruti,2010,Automatic,38000,Diesel,150000
Maruti Suzuki Alto,Maruti,2017,Manual,12500,Petrol,225000
Maruti Suzuki Dzire,Maruti,2009,Manual,42000,Petrol,210000
Hyundai i20 Asta,Hyundai,2014,Manual,31000,Petrol,425000
Maruti Suzuki Swift,Maruti,2008,Automatic,60000,Diesel,162000
Tata Indica V2,Tata,2005,Manual,80000,Diesel,60000
Mahindra Scorpio VLX,Mahindra,2014,Manual,77000,Diesel,650000
Toyota Innova 2.5,Toyota,2012,Manual,75000,Diesel,750000
Mahindra Xylo E8,Mahindra,2010,Manual,40000,Diesel,375000
Hyundai i20 Magna,Hyundai,2011,Manual,47000,Petrol,230000
Maruti Suzuki Omni,Maruti,2000,Automatic,60000,Petrol,35999
Mahindra KUV100,Mahindra,2016,Manual,26500,Petrol,380000
Mahindra KUV100 K8,Mahindra,2019,Manual,2875,Petrol,560000
Datsun Go Plus,Datsun,2016,Manual,13900,Petrol,285000
Ford Endeavor 4x4,Ford,2019,Manual,9000,Diesel,2900000
Tata Indica V2,Tata,2005,Manual,80000,Diesel,39999
Hyundai Santro Xing,Hyundai,2006,Manual,60000,Petrol,85000
Maruti Suzuki Wagon,Maruti,2016,Manual,20000,Petrol,395000
Maruti Suzuki Swift,Maruti,2008,Automatic,58000,Diesel,175000
Maruti Suzuki Alto,Maruti,2019,Manual,1500,Petrol,400000
Toyota Innova 2.5,Toyota,2011,Manual,75000,Diesel,750000
Maruti Suzuki Alto,Maruti,2016,Manual,2450,Petrol,250000
Maruti Suzuki Alto,Maruti,2019,Automatic,1625,Petrol,425000
Volkswagen Polo Highline1.2L,Volkswagen,2017,Automatic,45000,Petrol,525000
Mahindra Logan,Mahindra,2009,Manual,65000,Diesel,130000
Maruti Suzuki 800,Maruti,2000,Manual,33400,Petrol,30000
Mahindra Scorpio,Mahindra,2011,Manual,60123,Diesel,475000
Chevrolet Sail 1.2,Chevrolet,2013,Manual,28000,Petrol,300000
Hyundai Santro AE,Hyundai,2003,Manual,70000,Petrol,60000
Maruti Suzuki Wagon,Maruti,2006,Manual,7000,Petrol,100000
Hyundai Eon,Hyundai,2018,Automatic,25000,Petrol,260000
Tata Manza,Tata,2015,Automatic,100000,Diesel,100000
Toyota Etios G,Toyota,2013,Manual,42000,Petrol,265000
Hyundai Getz Prime,Hyundai,2009,Manual,20000,Petrol,115000
Toyota Qualis,Toyota,2003,Manual,100000,Diesel,180000
Hyundai Santro Xing,Hyundai,2004,Manual,137495,Petrol,45000
Tata Indica eV2,Tata,2016,Manual,91200,Diesel,50500
Honda City 1.5,Honda,2009,Manual,55000,Petrol,270000
Tata Zest XE,Tata,2017,Manual,120000,Diesel,290000
Mahindra Quanto C4,Mahindra,2013,Manual,63000,Diesel,325000
Tata Indigo eCS,Tata,2016,Manual,104000,Diesel,160000
Maruti Suzuki Swift,Maruti,2016,Automatic,146000,Diesel,350000
Hyundai Elite i20,Hyundai,2011,Manual,40000,Petrol,290000
Hyundai i20 Select,Hyundai,2011,Manual,40000,Petrol,290000
Chevrolet Tavera Neo,Chevrolet,2007,Manual,100800,Diesel,465000
Maruti Suzuki Dzire,Maruti,2016,Manual,150000,Diesel,325000
Hyundai Elite i20,Hyundai,2018,Manual,2100,Petrol,510000
Honda City VX,Honda,2016,Manual,95000,Petrol,860000
Maruti Suzuki Dzire,Maruti,2016,Manual,2500,Diesel,450000
Hyundai Getz,Hyundai,2006,Manual,80000,Petrol,125000
Mercedes Benz C,Mercedes,2006,Manual,15000,Petrol,500001
Maruti Suzuki Alto,Maruti,2005,Manual,65000,Petrol,95000
Maruti Suzuki Swift,Maruti,2009,Automatic,51000,Diesel,250000
Skoda Fabia,Skoda,2009,Manual,45000,Petrol,110000
Maruti Suzuki Ritz,Maruti,2011,Manual,50000,Petrol,270000
Tata Indica V2,Tata,2009,Manual,30000,Diesel,110000
Toyota Corolla Altis,Toyota,2009,Manual,132000,Petrol,300000
Tata Zest XM,Tata,2018,Manual,27000,Diesel,260000
Mahindra Quanto C8,Mahindra,2013,Manual,40000,Diesel,390000
